#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.982858
L_gyaricum: 0.991805
N21: 0.752671
L_vernale: 0.880316
N36: 0.994412
L_nervosum: 0.523681
N56: 0.777649
Re_indica: 1.35073
Total number of gain events: 11.7545
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.835472
L_corymbulosum: 0.93015
L_catharticum: 1.06047
S_digynum: 2.85559
L_grandiflorum: 0.847652
N58: 1.00873
Re_indica: 1.30762
Total number of loss events: 13.3117
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N28: 0.916013
L_littorale: 1.00233
L_macraei: 1
L_rupestre: 0.910864
He_micranthum: 0.953514
L_aroanium1: 0.577851
Total number of duplication events: 6.31876
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.951382
L_kingii: 0.978949
L_vernale: 0.834411
N36: 0.934844
L_nervosum: 0.581462
N54: 0.587423
L_hologynum: 0.93376
Total number of demi-dulications events: 7.37167
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N10:ML=9 to L_suffruticosum1:ML=36  sum expections= 3.68557e-08
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 0	Duplications = 2	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N43	0.0781362	0.0660461	5.6495e-05	0.00187312
N44	0.110764	0.115229	1.58061e-05	0.00213799
N45	0.000828508	0.00103449	6.84621e-11	8.53865e-06
N46	1.50608e-05	2.70686e-05	1.33247e-13	1.55579e-07
N47	0.000430005	0.00042565	1.46082e-15	4.34412e-09
N48	0.00066347	0.000664942	7.66831e-15	4.66153e-10
N49	0.000427063	0.000430481	1.67474e-17	3.30948e-10
N50	0.000209347	0.000210263	3.4678e-19	3.81934e-11
L_alpinum	0.00010358	0.000103969	0	5.76225e-12
L_punctatum1	0.00010358	0.000103969	0	5.76225e-12
L_perenne	0.000426745	0.00042805	0	4.06017e-11
L_lewisii	0.00134106	0.00134578	9.33806e-16	3.58222e-10
L_leonii	0.00298226	0.00298845	4.39443e-15	4.55198e-10
N51	0.000799712	0.000783002	1.37252e-13	4.43148e-09
L_austr_mauritanicum	0.00209172	0.00211027	2.53272e-14	1.95251e-09
L_austriacum	0.00209172	0.00211027	2.53272e-14	1.95251e-09
L_pallescens	0.00415507	0.00416901	1.49528e-12	1.89617e-07
L_pycnophyllum	0.0065941	0.00681631	1.40061e-09	9.51311e-06
N52	0.239468	0.271576	0.34542	0.0708248
L_aroanium1	0.450128	0.108758	0.577851	0.0227316
L_nervosum	0.523681	0.338279	0.00958277	0.581462
N53	0.0724167	0.0808908	4.29376e-05	0.000969854
N54	0.0529145	0.0245496	0.0202725	0.587423
N55	0.238896	0.0546923	0.0301659	0.258857
N56	0.777649	0.038564	0.00355472	0.101767
L_bienne	0.00167281	0.000619889	5.91157e-09	7.7486e-05
L_usitatissimum	0.00167281	0.000619889	5.91157e-09	7.7486e-05
L_hologynum	0.171355	0.272396	0.0868318	0.93376
L_narbonense	0.213336	0.258889	0.0377929	0.354488
N57	0.0505166	0.199042	3.9341e-06	0.00185435
L_decumbens1	0.191774	0.0279442	6.49703e-06	0.00152553
L_grandiflorum	0.0155615	0.847652	3.72624e-06	0.000172662
L_stelleroides	0.379636	0.374366	0.000419564	0.0159469
N58	0.121383	1.00873	0.000520439	0.00470214
N59	0.0073298	0.0379266	3.2224e-05	4.88875e-05
N60	0.0040044	0.00830826	3.73949e-06	3.16454e-06
L_hirsutum	0.0103996	0.0116503	6.68056e-07	4.04783e-07
L_seljukorum	0.0103996	0.0116503	6.68056e-07	4.04783e-07
L_viscosum	0.0222403	0.0282913	4.62235e-06	0.000168735
L_pubescens	0.0464947	0.0838663	4.11735e-05	0.00045348
Re_indica	1.35073	1.30762	0.0334543	0.453224
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
L_corymbiferum	0.389563	0.43989	0.00240127	0.0314472
L_gallicum	1.38165	0.431977	0.00240127	0.0314472
L_strictum	0.399209	0.449536	0.00240127	0.0314472
L_setaceum	0.371891	0.421617	0.00240111	0.0312499
L_suffruticosum1	0.368058	0.417793	2.0024	0.031249
L_tenuifolium1	0.368622	0.418345	0.00240111	0.0312491
L_album	0.69918	0.587269	0.0188195	1.01302
L_mucronatum1	0.69918	0.587269	0.0188195	1.01302
L_arboreum	0.694952	0.583052	0.0188195	1.01302
L_elegans	0.694952	0.583052	0.0188195	1.01302
L_campanulatum	0.695652	0.583752	0.0188195	1.01302
L_capitatum	0.696312	0.584412	0.0188195	1.01302
L_gyaricum	1.69375	0.581845	0.0188195	1.01302
L_tauricum	0.703715	0.591815	0.0188195	1.01302
L_flavum	0.697821	0.585921	0.0188195	1.01302
L_nodiflorum	0.54966	1.4107	0.0188059	1.01305
L_corymbulosum	1.29922	1.36775	0.00243136	0.0369686
L_trigynum	1.36926	0.437792	0.00243136	0.0369686
L_tenue1	1.33548	0.404011	0.00243137	0.0369696
L_maritimum	1.33962	0.409029	0.0024334	0.0372542
L_catharticum	0.369011	1.42034	0.00239694	0.0317974
C_selaginoides	0.407661	0.461027	1.00157	0.0338933
L_littorale	0.400738	0.453677	2.00202	0.0329858
L_macraei	0.378423	0.431347	2.00202	0.0329857
L_prostratum	0.380312	0.433226	1.00202	0.0329856
L_oligophyllum	0.383807	0.436721	1.00202	0.0329856
L_kingii	0.383368	0.512696	0.00242614	1.03199
L_rupestre	0.441295	0.495073	0.973493	0.084169
