Iteration	Posterior	Likelihood	Prior	clado_demipoly	clado_fission	clado_fusion	clado_no_change	clado_polyploid	delta	eta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	gamma	rho	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	speciation_rates[4]	speciation_rates[5]	total_speciation	turnover
100	-435.3713	-447.8949	12.52361	0.008498782	0.009231541	0.004347515	0.168987	0.008498782	0.07986456	0.008105432	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.04971689	0.008105432	0.168987	0.00923154	0.00434752	0.00849878	0.00849878	0.1995636	0.4349077
110	-433.2956	-446.7146	13.41905	0.006799214	0.003179395	1.302302e-06	0.1596131	0.006799214	0.01411146	0.01346207	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.0492795	0.03926364	0.01346207	0.159613	0.0031794	1.3023e-06	0.00679921	0.00679921	0.1763922	0.2793747
120	-433.3068	-446.3965	13.08975	0.002757592	0.02331202	0.01318871	0.1596131	0.002757592	0.02930651	0.01634436	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.108024	0.02862529	0.01634436	0.159613	0.023312	0.0131887	0.00275759	0.00275759	0.201629	0.5357549
130	-433.5784	-446.5323	12.95387	0.01218795	0.01914549	0.002050959	0.2050738	0.01218795	0.01557177	0.009187328	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.144933	0.02864016	0.009187328	0.205074	0.0191455	0.00205096	0.0121879	0.0121879	0.2506462	0.5782379
140	-431.8188	-445.1702	13.35132	0.006543126	0.001132843	0.001461854	0.1713922	0.006543126	0.02948486	0.009562089	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.0631911	0.02504104	0.009562089	0.171392	0.00113284	0.00146185	0.00654313	0.00654313	0.1870732	0.337788
150	-434.3556	-447.4612	13.10559	0.005515043	0.01724604	0.01320048	0.140432	0.005515043	0.02530447	0.01220083	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.0499102	0.05475655	0.01220083	0.140432	0.017246	0.0132005	0.00551504	0.00551504	0.1819086	0.2743698
160	-432.7879	-446.1886	13.40071	0.006305919	0.01700767	0.005362384	0.1248774	0.006305919	0.03331685	0.01452012	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.041117	0.03479869	0.01452012	0.124877	0.0170077	0.00536238	0.00630592	0.00630592	0.1598593	0.2572072
170	-437.3811	-450.5037	13.1226	0.0172399	0.005667322	0.01466502	0.1248774	0.0172399	0.03943035	0.01169249	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.00374449	0.05157859	0.01169249	0.124877	0.00566732	0.014665	0.0172399	0.0172399	0.1796896	0.02083866
180	-434.4429	-446.9915	12.54863	0.0001759677	0.008939798	0.01234671	0.223376	0.0001759677	0.03162366	0.01812589	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.182338	0.03861852	0.01812589	0.223376	0.0089398	0.0123467	0.000175968	0.000175968	0.2450144	0.7441944
190	-439.3782	-452.125	12.74674	0.006988863	0.01498432	0.01234671	0.2072016	0.006988863	0.009526192	0.03508694	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.110826	0.02683142	0.03508694	0.207202	0.0149843	0.0123467	0.00698886	0.00698886	0.2485103	0.4459624
200	-435.8854	-448.8294	12.94403	0.002512361	0.024179	0.003460575	0.2072016	0.002512361	0.001281065	0.02493232	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.135706	0.0291311	0.02493232	0.207202	0.024179	0.00346058	0.00251236	0.00251236	0.2398659	0.5657582
210	-435.904	-448.8075	12.90351	0.01159499	0.008129494	0.001084232	0.2072016	0.01159499	0.0007450179	0.01734194	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.142875	0.04944389	0.01734194	0.207202	0.00812949	0.00108423	0.011595	0.011595	0.2396053	0.5962913
220	-436.6072	-450.097	13.48974	0.0164593	0.001155617	0.0254273	0.134069	0.0164593	0.001403356	0.01143885	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.123618	0.04037992	0.01143885	0.134069	0.00115562	0.0254273	0.0164593	0.0164593	0.1935705	0.638618
230	-433.4513	-446.8183	13.36696	0.0006552738	0.01794921	0.01287813	0.1882366	0.0006552738	0.00749914	0.01305915	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.15346	0.007846212	0.01305915	0.188237	0.0179492	0.0128781	0.000655274	0.000655274	0.2203745	0.6963582
240	-433.4052	-447.0458	13.64053	0.0006060638	0.01484226	0.006106719	0.129136	0.0006060638	0.01509301	0.01791824	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.0073503	0.02813473	0.01791824	0.129136	0.0148423	0.00610672	0.000606064	0.000606064	0.1512971	0.04858191
250	-435.9038	-448.704	12.8002	0.003317624	0.000405163	0.01259402	0.1601911	0.003317624	0.01690813	0.018003	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.0963605	0.08779111	0.018003	0.160191	0.000405163	0.012594	0.00331762	0.00331762	0.1798255	0.5358554
260	-433.1322	-446.2802	13.14794	0.003566413	0.001896749	0.003676471	0.1983497	0.003566413	0.02440241	0.008247243	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.0830408	0.02830449	0.008247243	0.19835	0.00189675	0.00367647	0.00356641	0.00356641	0.2110557	0.3934545
270	-434.4949	-447.1171	12.62228	0.0008758802	0.001205718	0.003044204	0.1983497	0.0008758802	0.05888864	0.01293389	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.12678	0.04519228	0.01293389	0.19835	0.00120572	0.0030442	0.00087588	0.00087588	0.2043513	0.6204045
280	-436.7832	-449.4487	12.66549	0.01640454	0.0114092	1.362283e-05	0.1420547	0.01640454	0.05843079	0.01019532	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.0850485	0.07331554	0.01019532	0.142055	0.0114092	1.36228e-05	0.0164045	0.0164045	0.1862866	0.4565466
290	-431.9713	-445.3782	13.40692	0.008481381	0.005009085	0.0005770238	0.1420547	0.008481381	0.02954328	0.01275361	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.0445281	0.03748167	0.01275361	0.142055	0.00500908	0.000577024	0.00848138	0.00848138	0.1646036	0.2705171
300	-436.9753	-450.1651	13.18977	0.02610448	0.0171581	0.003088713	0.1431461	0.02610448	0.04396526	0.01086237	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.104521	0.01760813	0.01086237	0.143146	0.0171581	0.00308871	0.0261045	0.0261045	0.2156019	0.4847858
310	-432.6704	-445.8168	13.14641	0.006259943	0.01266035	0.002295697	0.1928265	0.006259943	0.02592853	0.01246714	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.0750876	0.01700584	0.01246714	0.192827	0.0126603	0.0022957	0.00625994	0.00625994	0.2203025	0.3408385
320	-433.3129	-446.4195	13.10663	0.003578398	0.02093256	0.005616049	0.1928265	0.003578398	0.01838826	0.02100378	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.109914	0.01222975	0.02100378	0.192827	0.0209326	0.00561605	0.0035784	0.0035784	0.2265319	0.4852036
330	-436.301	-448.9229	12.62184	0.004195188	0.004594363	0.01488882	0.1928265	0.004195188	0.01631481	0.01921253	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.167997	0.07018765	0.01921253	0.192827	0.00459436	0.0148888	0.00419519	0.00419519	0.2207001	0.7612002
340	-433.1759	-446.4404	13.26456	0.0003914867	0.00137604	0.009577003	0.1796887	0.0003914867	0.02615495	0.01724734	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.0824641	0.02021749	0.01724734	0.179689	0.00137604	0.009577	0.000391487	0.000391487	0.1914248	0.4307912
350	-435.8898	-449.2503	13.36049	0.005147407	0.008296048	0.01832786	0.1066328	0.005147407	0.0688996	0.009397007	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.0291841	0.02155078	0.009397007	0.106633	0.00829605	0.0183279	0.00514741	0.00514741	0.1435516	0.2033006
360	-433.6301	-447.1617	13.53162	0.001204129	0.01343663	0.01194982	0.1186164	0.001204129	0.02850667	0.0153572	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.0216055	0.03294764	0.0153572	0.118616	0.0134366	0.0119498	0.00120413	0.00120413	0.1464111	0.1475673
370	-436.3067	-449.0194	12.71266	0.005301322	0.001970874	0.01392531	0.2192318	0.005301322	0.04269968	0.01324649	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.0875421	0.01985719	0.01324649	0.219232	0.00197087	0.0139253	0.00530132	0.00530132	0.2457307	0.3562524
380	-438.4448	-450.535	12.09019	0.01555764	0.007999464	0.00731186	0.2134234	0.01555764	0.05330027	0.01553405	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.130515	0.06585352	0.01553405	0.213423	0.00799946	0.00731186	0.0155576	0.0155576	0.25985	0.5022706
