#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.981329
N20: 0.75471
L_flavum: 0.948294
N21: 0.717406
L_vernale: 0.88118
N36: 0.893054
L_nervosum: 0.559437
N56: 0.81986
L_stelleroides: 0.661313
Re_indica: 1.76315
Total number of gain events: 15.1357
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.80137
L_corymbulosum: 0.884911
L_catharticum: 1.06824
S_digynum: 2.80797
L_grandiflorum: 0.756224
L_stelleroides: 0.545414
N58: 0.951777
Re_indica: 1.143
Total number of loss events: 14.0503
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.99979
N28: 0.928277
L_littorale: 1.00169
L_macraei: 1
L_rupestre: 0.953419
He_micranthum: 0.943469
L_aroanium1: 0.73654
Total number of duplication events: 8.42112
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.951795
L_kingii: 0.983438
L_vernale: 0.888639
N36: 0.918967
L_nervosum: 0.702478
N54: 0.557134
L_hologynum: 0.943533
Total number of demi-dulications events: 7.49821
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N44	0.193966	0.163072	9.5376e-05	0.00562194
N45	0.0017053	0.00139952	7.36187e-10	2.58731e-05
N46	0.00016504	0.000150102	1.24126e-12	4.98396e-07
N47	0.00024013	0.000241055	1.34598e-14	1.49848e-08
N48	0.000698916	0.00069815	2.26134e-14	1.54692e-09
N49	0.000447172	0.000445783	2.40161e-15	8.19054e-10
N50	0.00021478	0.0002144	1.74506e-18	8.98019e-11
L_alpinum	0.000208527	0.000208372	2.36681e-24	1.3173e-11
L_punctatum1	0.000208527	0.000208372	2.36681e-24	1.3173e-11
L_perenne	0.000648773	0.000648238	1.49454e-22	9.67714e-11
L_lewisii	0.00228372	0.0022818	3.3022e-15	7.98808e-10
L_leonii	0.00591678	0.00591409	4.71288e-12	1.49502e-09
N51	0.000739773	0.000745552	7.79145e-13	1.5339e-08
L_austr_mauritanicum	0.00420267	0.00419513	1.59662e-11	4.99083e-09
L_austriacum	0.00420267	0.00419513	1.59662e-11	4.99083e-09
L_pallescens	0.00960288	0.00958617	1.40189e-09	5.10779e-07
L_pycnophyllum	0.0139892	0.0136667	6.91506e-08	2.62584e-05
N52	0.331187	0.208081	0.186808	0.0776469
L_aroanium1	0.353902	0.170272	0.73654	0.0235973
L_nervosum	0.559437	0.467218	0.0438752	0.702478
N53	0.127711	0.138419	0.000121405	0.00286316
N54	0.0428211	0.0390898	0.0488721	0.557134
N55	0.213263	0.0539428	0.0509596	0.250475
N56	0.81986	0.0376602	0.00511725	0.0909728
L_bienne	0.00128953	0.00015398	4.92588e-09	7.41545e-05
L_usitatissimum	0.00128953	0.00015398	4.92588e-09	7.41545e-05
L_hologynum	0.135945	0.206687	0.0782203	0.943533
L_narbonense	0.221655	0.239207	0.0634962	0.33063
N57	0.113307	0.261614	1.89943e-05	0.0039082
L_decumbens1	0.306715	0.0430264	2.17315e-05	0.00405614
L_grandiflorum	0.0310166	0.756224	3.09529e-05	0.00034773
L_stelleroides	0.661313	0.545414	0.00202924	0.0370142
N58	0.260215	0.951777	0.00136613	0.00798348
N59	0.019791	0.0455382	8.87223e-05	0.000138771
N60	0.00969051	0.0135662	1.01243e-05	1.17741e-05
L_hirsutum	0.0196788	0.020418	1.79658e-06	4.24635e-06
L_seljukorum	0.0196788	0.020418	1.79658e-06	4.24635e-06
L_viscosum	0.0465967	0.05128	1.20322e-05	3.86466e-05
L_pubescens	0.0991054	0.130463	0.000104791	0.000476461
Re_indica	1.76315	1.143	0.0431205	0.376048
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
L_corymbiferum	0.756426	0.610437	0.00616341	0.0513968
L_gallicum	1.74767	0.601687	0.00616341	0.0513978
L_strictum	0.766978	0.62099	0.00616341	0.0513969
L_setaceum	0.740497	0.59376	0.00616283	0.0511491
L_suffruticosum1	0.733661	0.586973	2.00595	0.0511491
L_tenuifolium1	0.734389	0.587652	0.00616282	0.0511492
L_album	1.08506	0.716449	0.0169819	1.03701
L_mucronatum1	1.08506	0.716449	0.0169819	1.03701
L_arboreum	1.13055	0.762	0.0169941	1.03699
L_elegans	1.13055	0.762	0.0169941	1.03699
L_campanulatum	1.13145	0.762903	0.0169941	1.03699
L_capitatum	1.1731	0.80455	0.0169941	1.03699
L_gyaricum	2.0814	0.712859	0.0169941	1.03699
L_tauricum	2.0814	0.712859	0.0169941	1.03699
L_flavum	2.07772	0.709174	0.0169943	1.03699
L_nodiflorum	0.902283	1.50179	0.0169312	1.03701
L_corymbulosum	1.61463	1.49246	0.00620679	0.0587273
L_trigynum	1.72991	0.607736	0.0062068	0.0587273
L_tenue1	1.6819	0.559741	0.00620692	0.0587305
L_maritimum	1.68567	0.563666	0.00621064	0.0587712
L_catharticum	0.704842	1.56101	0.00615821	0.0521334
C_selaginoides	0.745365	0.604051	1.00534	0.054345
L_littorale	0.727173	0.5856	2.0056	0.0538202
L_macraei	0.727929	0.586348	2.00561	0.0538112
L_prostratum	0.727862	0.586281	1.00561	0.0538112
L_oligophyllum	0.729327	0.587746	1.00561	0.0538112
L_kingii	0.747468	0.68308	0.00618567	1.05226
L_rupestre	0.79628	0.659167	0.981466	0.0952199
L_vernale	1.64837	0.78975	0.0980493	0.961088
L_striatum	0.758517	0.616423	0.0061551	0.0527243
He_micranthum	0.848766	0.782261	0.949623	0.172695
S_digynum	0.707022	3.55686	0.00615361	0.0506018
L_acuticarpum	1.59708	0.686539	0.0852206	0.972864
L_gracile	1.59708	0.686539	0.0852206	0.972864
L_heterostylum	1.6024	0.691858	0.0852206	0.972864
L_africanum	1.60435	0.693808	0.0852206	0.972864
L_comptonii	1.60568	0.695139	0.0852219	0.972872
Ra_linoides	0.798385	0.657476	0.00618027	0.0529573
L_alpinum	0.830014	0.669886	0.00549801	0.0481795
L_punctatum1	0.830014	0.669886	0.00549801	0.0481795
L_perenne	0.83024	0.670112	0.00549801	0.0481795
L_lewisii	0.831428	0.6713	0.00549801	0.0481795
L_leonii	0.834362	0.674234	0.00549801	0.0481795
L_austr_mauritanicum	0.833147	0.673019	0.00549801	0.0481795
L_austriacum	0.833147	0.673019	0.00549801	0.0481795
L_pallescens	0.837643	0.677515	0.00549801	0.0481795
L_pycnophyllum	0.840324	0.680196	0.00549808	0.0481793
L_aroanium1	1.31746	0.88181	0.928751	0.143775
L_nervosum	1.52299	1.17876	0.236086	0.822656
L_bienne	1.67477	0.67586	0.11023	0.936885
L_usitatissimum	1.67477	0.67586	0.11023	0.936885
L_hologynum	0.989562	0.844733	0.183333	1.78937
L_narbonense	0.862009	0.82331	0.117649	0.925992
L_decumbens1	1.01755	0.849653	0.00532143	0.0461928
L_grandiflorum	0.741856	1.56285	0.00533066	0.0424843
L_stelleroides	0.96523	0.864318	0.00658563	0.0654838
L_hirsutum	0.521221	1.3116	0.00550344	0.0324557
L_seljukorum	0.521221	1.3116	0.00550344	0.0324557
L_viscosum	0.538448	1.32889	0.00550355	0.0324784
L_pubescens	0.571166	1.36254	0.00550759	0.0327774
Re_indica	1.76315	1.143	0.0431205	0.376048
