NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N37	0.0615422	0	9.2911e-09	9.52716e-48	0.0006563
N38	0.0501825	0	1.63309e-11	2.31769e-53	1.7374e-05
N39	0.0773154	0	1.66731e-14	2.4905e-56	8.04004e-07
L_acuticarpum	0.0091659	0	0	0	2.83573e-09
L_gracile	0.0091659	0	0	0	2.83573e-09
L_heterostylum	0.0864813	0	6.27829e-21	0	8.06865e-07
L_africanum	0.136664	0	6.21701e-19	0	1.81994e-05
L_comptonii	0.198254	0	1.04206e-16	0	0.00071695
Ra_linoides	3.09488	0	1.8591e-08	0	1.37901e-05
N40	1.09777	0	0.00957902	4.63676e-34	4.71172e-05
N41	0.484804	0	0.000175957	5.95569e-58	4.1939e-05
N42	1.03469	0	3.10624e-05	3.94962e-34	8.11521e-05
N43	1.27972	0	2.24149e-06	1.2853e-36	0.000121089
N44	1.50824	0	4.58517e-07	9.06016e-34	9.89321e-05
N45	0.0474754	0	1.72703e-13	3.27598e-123	8.994e-08
N46	0.00861815	0	4.89733e-17	5.50603e-70	4.87289e-10
N47	0.00358027	0	2.77646e-20	2.79203e-72	3.99208e-12
N48	0.00263667	0	2.64957e-23	2.10825e-144	8.74641e-14
N49	0.000349565	0	6.37299e-28	2.53009e-134	3.4485e-16
N50	3.19605e-05	0	5.2874e-33	3.34026e-199	9.37633e-19
L_alpinum	1.69451e-06	0	0	0	1.47836e-21
L_punctatum1	1.69451e-06	0	0	0	1.47836e-21
L_perenne	3.3655e-05	0	0	0	9.39111e-19
L_lewisii	0.00038322	0	5.1818e-27	0	3.4579e-16
L_leonii	0.00301989	0	1.62737e-22	0	8.78102e-14
N51	0.00430584	0	2.417e-20	1.19557e-54	4.01616e-12
L_austr_mauritanicum	0.00229431	0	6.53668e-23	0	6.36546e-14
L_austriacum	0.00229431	0	6.53668e-23	0	6.36546e-14
L_pallescens	0.0152183	0	7.08033e-17	0	4.85978e-10
L_pycnophyllum	0.0626963	0	4.59357e-13	0	8.94764e-08
N52	2.20392	0	0.0342427	1.3715e-22	0.856924
L_aroanium1	2.91648	0	0	0.0458793	0.049289
L_nervosum	0.201743	0	1.29382e-12	0	0.00292788
N53	0.833946	0	1.46989e-06	2.19596e-33	9.1053e-06
N54	0.273632	0	0.120993	7.86662e-57	0.560611
N55	0.912847	0	0.0101084	4.15177e-24	0.164498
N56	1.05644	0	0.000724728	2.12545e-34	0.233956
L_bienne	0.00754354	0	0	0	5.02073e-05
L_usitatissimum	0.00754354	0	0	0	5.02073e-05
L_hologynum	1.1406	0	3.93979e-06	0.0680238	0.981481
L_narbonense	1.68727	0	0.0183125	0	0.28018
N57	0.734014	0	4.81092e-07	9.0919e-33	6.50502e-06
L_decumbens1	1.28392	0	4.5051e-09	0	2.29712e-07
L_grandiflorum	0.283923	0	3.9584e-09	0	1.54352e-07
L_stelleroides	3.88227	0	4.89898e-05	0	0.00081409
N58	2.4424	0	0.00024152	4.87937e-33	0.000101182
N59	0.350081	0	9.00302e-09	5.86343e-35	6.32087e-07
N60	0.253655	0	1.88488e-10	4.15863e-35	1.7493e-08
